Canada,,,France,,,Italy,,,Japan,,,Mexico,,,Soviet,,,Spain,,,UK,,,USA,,
1,15,5,1,16,6,1,19,8,1,24,5,1,19,5,1,17,5,1,25,7,1,20,5,1,17,5
2,20,6,2,34,7,2,20,9,2,25,6,2,27,6,2,22,6,2,26,8,2,24,6,2,22,6
3,22,7,3,35,8,3,27,10,3,29,8,3,28,8,3,23,7,3,27,9,3,25,9,3,23,7
4,23,9,4,38,9,4,30,11,4,33,9,4,29,9,4,26,8,4,28,10,4,26,10,4,26,8
8,25,10,5,40,10,5,31,12,7,34,10,7,33,10,,27,9,5,33,11,7,29,11,,27,9
,28,11,,41,11,6,34,13,,35,11,,34,11,,29,10,6,36,12,8,33,12,,29,10
,29,12,,43,12,7,35,14,,42,12,,38,12,,30,11,,38,13,,35,13,,30,11
,30,13,,46,13,,37,15,,44,13,,39,13,,31,12,,39,14,,38,14,,31,12
,32,14,,47,14,,40,16,,47,14,,40,14,,32,13,,40,15,,39,15,,32,13
,33,16,,48,15,,42,17,,49,15,,43,15,,37,14,,42,16,,42,16,,37,14
,34,17,,51,17,,43,18,,50,16,,45,16,,38,15,,43,17,,44,17,,38,15
,37,18,,52,18,,44,21,,51,17,,47,17,,42,16,,44,18,,45,18,,42,16
,38,19,,53,19,,45,22,,52,18,,48,18,,44,18,,46,19,,47,19,,44,18
,39,21,,54,20,,46,23,,53,19,,50,20,,45,19,,47,20,,48,21,,45,19
,41,24,,56,21,,49,24,,57,20,,51,21,,46,20,,49,21,,49,22,,46,20
,42,26,,58,22,,50,25,,58,21,,53,22,,47,21,,50,22,,50,23,,47,21
,44,27,,61,23,,51,26,,59,22,,54,23,,48,24,,52,23,,51,27,,48,24
,45,31,,62,24,,52,28,,60,23,,55,24,,49,25,,53,24,,52,28,,49,25
,46,35,,63,25,,53,29,,62,26,,56,25,,52,28,,55,29,,53,30,,52,28
,47,36,,64,26,,54,32,,63,27,,57,26,,53,33,,56,30,,54,31,,53,33
,48,40,,65,27,,55,33,,64,28,,58,30,,54,34,,57,31,,56,32,,54,34
,49,43,,66,28,,56,36,,65,30,,60,31,,56,35,,60,32,,57,34,,56,35
,50,71,,67,29,,57,38,,66,31,,61,32,,57,36,,61,34,,58,36,,57,36
,51,87,,68,30,,58,39,,67,32,,62,35,,58,39,,62,35,,59,37,,58,39
,52,90,,69,31,,59,41,,68,36,,63,36,,59,40,,63,37,,60,40,,59,40
,53,91,,71,32,,60,47,,70,37,,64,37,,62,41,,64,41,,61,41,,62,41
,54,,,73,33,,61,48,,71,38,,65,41,,63,43,,66,45,,62,43,,63,43
,55,,,74,36,,62,71,,73,39,,66,42,,64,50,,67,48,,63,46,,64,50
,56,,,76,37,,63,72,,74,40,,67,44,,66,51,,68,51,,64,55,,66,51
,57,,,77,39,,64,,,75,41,,68,46,,67,55,,69,54,,65,69,,67,55
,58,,,78,42,,65,,,76,43,,71,49,,68,60,,71,58,,66,72,,68,60
,59,,,79,44,,66,,,77,45,,73,52,,70,61,,72,59,,67,80,,70,61
,60,,,81,45,,67,,,78,46,,74,59,,72,65,,73,65,,68,,,72,65
,61,,,85,49,,68,,,79,48,,75,69,,73,69,,74,70,,70,,,73,69
,62,,,86,50,,69,,,81,54,,76,70,,74,71,,75,,,71,,,74,71
,63,,,87,55,,70,,,82,55,,77,72,,75,76,,76,,,73,,,75,76
,64,,,88,57,,73,,,83,56,,78,,,78,77,,77,,,74,,,78,77
,65,,,89,59,,74,,,84,61,,79,,,79,81,,78,,,75,,,79,81
,66,,,90,60,,75,,,85,69,,80,,,80,83,,79,,,76,,,80,83
,67,,,91,70,,76,,,86,72,,81,,,82,96,,80,,,77,,,82,96
,68,,,93,72,,77,,,87,80,,82,,,84,,,81,,,78,,,84,
,69,,,97,75,,78,,,88,,,83,,,85,,,82,,,79,,,85,
,70,,,98,80,,79,,,89,,,84,,,86,,,83,,,81,,,86,
,72,,,99,82,,80,,,90,,,85,,,87,,,84,,,82,,,87,
,73,,,,83,,81,,,91,,,86,,,88,,,85,,,83,,,88,
,74,,,,84,,82,,,92,,,87,,,89,,,86,,,84,,,89,
,75,,,,92,,83,,,93,,,88,,,90,,,87,,,85,,,90,
,76,,,,94,,84,,,94,,,89,,,91,,,88,,,86,,,91,
,77,,,,95,,85,,,95,,,90,,,92,,,89,,,87,,,92,
,78,,,,96,,86,,,96,,,91,,,93,,,90,,,88,,,93,
,79,,,,,,87,,,97,,,92,,,94,,,91,,,89,,,94,
,80,,,,,,88,,,98,,,93,,,95,,,92,,,90,,,95,
,81,,,,,,89,,,99,,,94,,,97,,,93,,,91,,,97,
,82,,,,,,90,,,,,,95,,,98,,,94,,,92,,,98,
,83,,,,,,91,,,,,,96,,,99,,,95,,,93,,,99,
,84,,,,,,92,,,,,,97,,,,,,96,,,94,,,,
,85,,,,,,93,,,,,,98,,,,,,97,,,95,,,,
,86,,,,,,94,,,,,,99,,,,,,98,,,96,,,,
,88,,,,,,95,,,,,,,,,,,,99,,,97,,,,
,89,,,,,,96,,,,,,,,,,,,,,,98,,,,
,92,,,,,,97,,,,,,,,,,,,,,,99,,,,
,93,,,,,,98,,,,,,,,,,,,,,,,,,,
,94,,,,,,99,,,,,,,,,,,,,,,,,,,
,95,,,,,,,,,,,,,,,,,,,,,,,,,
,96,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,,,,,,,,,,,,,,,,,,,,,,,,
,98,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,,,,,,,,,
