,c1900,c1910,c1920,c1930,c1940,c1950,c1960,c1970,c1980,c1990,2000,2010
New York,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,1,0,0,0,0,0,0,0,0,-1,0,0
Philadelphia,2,0,0,0,0,0,-1,0,0,-1,0,0
Saint Louis,3,0,-2,-1,-1,0,-2,-8,-8,-8,-15,-11
Boston,4,0,-2,-2,0,-1,-3,-3,-5,1,0,-3
Baltimore,5,-1,-1,0,1,1,0,-1,-3,-3,-4,-12
Cleveland,6,1,1,-1,0,-1,-1,-2,-8,-6,-8,-19
Buffalo,7,-1,-2,-2,-1,-1,-5,-8,-11,-11,-8,-20
San Francisco,8,-1,-2,2,-2,1,-1,-1,0,-1,1,0
Cincinnati,9,-2,-4,-1,0,-1,-3,-8,-3,-13,-9,-12
New Orleans,10,-3,-3,1,1,-1,1,-4,-3,-3,-6,-18
Detroit,11,4,4,0,0,-1,0,0,-1,-1,-3,-11
Milwaukee,12,2,-2,1,-1,0,2,-1,-4,-1,-2,-12
Washington,13,-1,1,0,3,2,0,0,-6,-4,-2,-1
Newark,14,2,-2,-3,0,-3,-9,-6,-10,-10,-7,-7
Pittsburgh,15,0,6,-1,1,-2,-4,-8,-6,-10,-12,-11
Jersey City,16,-2,-3,-1,-7,-7,-9,-8,-7,-6,-5,-3
Louisville,17,-6,-5,5,-1,-5,-1,-8,-10,-9,-8,36
Minneapolis,18,1,0,3,-1,-1,-8,-7,-2,-8,-3,-1
Providence,19,-3,-4,-10,0,-5,-14,-15,-28,NA,NA,NA
Indianapolis,20,-1,1,0,1,-3,-3,15,-1,0,0,-2
Kansas City,21,2,1,0,0,-1,-7,1,-1,-4,-5,0
Saint Paul,22,-3,-4,-1,-2,-2,-4,-7,-8,-3,-2,-5
Rochester,23,-1,2,1,-1,-9,-5,-12,-8,-9,-13,NA
Denver,24,-2,2,-4,5,0,1,-2,1,-2,1,6
Toledo,25,-4,4,-1,-7,-2,-2,4,-6,-9,-7,-15
Columbus,26,-2,1,0,2,-2,0,7,1,4,1,0
Worcester,27,-5,-2,-7,-2,-6,-16,-7,-18,NA,NA,NA
Syracuse,28,-5,-4,-2,-1,-6,-6,-13,-21,NA,NA,NA
New Haven,29,-5,-4,-10,-5,-5,-23,NA,NA,NA,NA,NA
Paterson,30,-8,-9,-10,-6,-4,-18,-9,NA,NA,NA,NA
Omaha,31,-8,6,-5,0,-1,0,0,-8,0,4,1
Los Angeles,32,16,8,4,0,1,1,0,0,1,0,0
Memphis,33,-3,-3,4,4,6,4,5,3,-4,0,-6
Lowell,34,-9,-12,-26,1,NA,NA,NA,NA,NA,NA,NA
Albany,35,-12,-7,-8,-2,-5,-24,NA,NA,NA,NA,NA
Cambridge,36,-8,-13,-12,-5,-10,NA,NA,NA,NA,NA,NA
Portland,37,10,4,-1,-2,-2,-3,-3,0,5,2,2
Atlanta,38,8,-2,1,4,-5,9,-3,-2,-7,-3,0
Grand Rapids,39,-2,-5,1,-7,-2,-16,6,-10,-8,-11,NA
Dayton,40,0,-2,2,1,-4,-4,-11,-14,-16,NA,NA
Richmond,41,4,1,-7,-1,-1,-6,-5,-7,-12,-19,-3
Nashville-Davidson,42,0,-9,1,0,-5,-18,44,5,2,1,-3
Seattle,43,23,1,0,-2,3,0,-3,-1,2,-3,6
Hartford,44,-4,3,-1,-5,-2,-24,-8,NA,NA,NA,NA
Wilmington,45,-8,-3,-17,2,-19,NA,NA,NA,NA,NA,NA
Bridgeport,46,0,3,-10,-5,-6,-15,-8,NA,NA,NA,NA
Oakland,47,16,1,1,1,2,-6,-5,-5,4,-2,-4
Des Moines,48,-6,4,-4,0,2,-2,-9,-10,-6,-13,NA
Springfield,49,-3,3,-2,-6,-5,-9,-13,NA,NA,NA,NA
Evansville,50,-13,-6,-9,-7,6,-7,-13,NA,NA,NA,NA
Manchester,51,-11,-10,-19,NA,NA,NA,NA,NA,NA,NA,NA
Peoria,52,-14,-9,0,-4,-10,NA,NA,NA,NA,NA,NA
Savannah,53,-15,-3,-15,-2,3,3,NA,NA,NA,NA,NA
Salt Lake City,54,4,-2,-4,0,5,-13,-9,-16,NA,NA,NA
San Antonio,55,6,9,3,2,11,8,2,4,1,1,2
Erie,56,-11,3,-1,-4,-6,-12,NA,NA,NA,NA,NA
Elizabeth,57,-3,-3,-4,-8,-13,NA,NA,NA,NA,NA,NA
Yonkers,59,2,-4,2,-1,-5,2,1,-9,-12,-12,NA
Norfolk,60,-5,12,-7,1,12,7,-6,-8,-7,-11,-13
Fort Wayne,61,-9,2,0,0,-4,-6,7,-8,-19,15,7
Youngstown,62,4,10,4,-5,-8,-18,-22,NA,NA,NA,NA
Houston,63,4,15,19,5,7,7,1,1,1,0,0
Akron,64,0,33,-3,-3,-1,-5,-8,-7,-12,-10,NA
Dallas,65,14,10,9,2,9,8,6,1,-1,0,-1
Lincoln,66,-17,-9,-2,0,-4,3,4,11,0,5,4
Augusta-Richmond,67,-20,-8,NA,NA,NA,NA,NA,NA,NA,7,NA
Honolulu,68,-6,4,12,13,3,1,-2,8,-8,-2,-6
Mobile,69,-8,-8,-13,0,20,17,-6,-3,-8,-13,NA
Birmingham,70,35,0,2,-1,1,-1,-13,-2,-10,-11,NA
Little Rock,71,-7,-6,-5,0,-7,NA,NA,1,0,NA,NA
Tacoma,72,17,-7,-10,-4,10,-17,-5,-9,3,-4,NA
Spokane,73,28,-14,-7,0,3,-4,-12,-2,-12,-3,NA
South Bend,74,2,-9,5,-5,-5,-5,NA,NA,NA,NA,NA
Allentown,75,0,-2,-6,-3,-6,NA,NA,NA,NA,NA,NA
Topeka,77,-7,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knoxville,78,-17,22,-1,1,-9,NA,7,-1,NA,NA,NA
Davenport,79,-6,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rockford,80,0,-3,-2,-7,NA,-5,4,NA,NA,NA,NA
Montgomery,81,-12,NA,-6,0,5,5,NA,14,-10,-1,NA
Chattanooga,82,0,-5,23,-1,-9,-18,NA,5,NA,NA,NA
Joliet,83,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento,84,3,-1,0,4,10,6,8,3,11,1,5
Waterbury,85,6,1,-6,1,-14,NA,NA,NA,NA,NA,NA
Jacksonville,86,15,5,5,14,-1,-11,37,4,4,1,2
Pueblo,87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Worth,88,27,3,11,1,9,4,1,0,5,1,11
Lexington-Fayette,89,-8,NA,NA,NA,NA,NA,NA,30,-2,6,3
Cedar Rapids,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita,91,18,-6,9,0,14,7,-1,0,0,1,2
Aurora,92,NA,NA,NA,NA,NA,NA,NA,-4,25,11,6
Macon,93,5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin,95,NA,NA,NA,5,17,7,11,14,15,11,5
Roanoke,96,-2,1,0,NA,NA,NA,NA,NA,NA,NA,NA
San Jose,97,NA,NA,NA,NA,NA,41,26,14,6,0,1
Colorado Springs,98,NA,NA,NA,NA,NA,NA,NA,33,12,6,8
Columbia,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City,NA,30,2,25,1,-3,9,-1,6,2,0,2
Berkeley,NA,-63,-1,2,-3,4,NA,NA,NA,NA,NA,NA
San Diego,NA,-3,14,24,10,12,13,4,6,2,-1,-1
El Paso,NA,-84,17,-3,-10,11,32,0,17,6,-1,3
Flint,NA,-73,27,16,-6,-6,1,-6,-28,NA,NA,NA
Tampa,NA,0,-2,17,2,-6,37,-3,-3,-2,-2,3
Tulsa,NA,NA,-27,25,-6,11,2,6,6,-6,0,-4
Lansing,NA,NA,-42,-2,-7,NA,NA,NA,NA,NA,NA,NA
Gary,NA,NA,6,11,8,1,2,-5,NA,NA,NA,NA
Portsmouth,NA,NA,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winston-Salem,NA,NA,-6,4,-1,NA,NA,NA,NA,NA,NA,9
Miami,NA,NA,NA,16,23,8,-2,1,1,-5,-1,3
Charlotte,NA,NA,NA,-44,5,12,13,-2,13,12,9,9
Shreveport,NA,NA,NA,-76,8,4,4,8,2,-10,-11,NA
Pasadena,NA,NA,NA,-6,-2,0,NA,NA,NA,NA,NA,NA
Long Beach,NA,NA,NA,NA,33,3,9,10,3,6,-2,-3
Glendale,NA,NA,NA,NA,-57,NA,NA,NA,NA,2,12,-9
Arlington,NA,NA,NA,NA,NA,28,-12,-4,-17,33,8,3
Baton Rouge,NA,NA,NA,NA,NA,-32,1,-2,21,-11,-1,-23
Corpus Christi,NA,NA,NA,NA,NA,5,17,13,2,-4,4,2
Phoenix,NA,NA,NA,NA,NA,-36,65,9,11,0,3,0
Jackson,NA,NA,NA,NA,NA,-94,15,-6,21,-8,NA,NA
Tucson,NA,NA,NA,NA,NA,NA,24,1,8,12,3,-3
Albuquerque,NA,NA,NA,NA,NA,NA,-26,1,14,6,3,3
Saint Petersburg,NA,NA,NA,NA,NA,NA,-37,8,3,-7,-3,NA
Amarillo,NA,NA,NA,NA,NA,NA,-21,NA,NA,NA,NA,NA
Fresno,NA,NA,NA,NA,NA,NA,-2,7,19,18,10,3
Lubbock,NA,NA,NA,NA,NA,NA,-61,2,14,-8,-3,7
Madison,NA,NA,NA,NA,NA,NA,-14,19,-5,1,-1,-1
Greensboro,NA,NA,NA,NA,NA,NA,-16,4,-4,12,11,9
Warren,NA,NA,NA,NA,NA,NA,NA,-2,-23,NA,NA,NA
Virginia Beach,NA,NA,NA,NA,NA,NA,NA,14,23,19,-1,-3
Anaheim,NA,NA,NA,NA,NA,NA,NA,-41,19,4,4,-1
Santa Ana,NA,NA,NA,NA,NA,NA,NA,-31,18,17,1,-6
Riverside,NA,NA,NA,NA,NA,NA,NA,-40,13,16,1,8
Fort Lauderdale,NA,NA,NA,NA,NA,NA,NA,-40,NA,NA,NA,NA
Anchorage,NA,NA,NA,NA,NA,NA,NA,NA,21,9,4,0
Huntington Beach,NA,NA,NA,NA,NA,NA,NA,NA,-20,-5,NA,NA
Las Vegas,NA,NA,NA,NA,NA,NA,NA,NA,1,26,30,5
Mesa,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25,11,4
Stockton,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36,4,8
Raleigh,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,13,20
Hialeah,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43,10,-15
Garland,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,9,-9
Bakersfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,28,16
Fremont,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45,13,-11
Plano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,9
Scottsdale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,-6
Chesapeake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-3
Irving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,7
